Initialize correctly IMU!
Step Detector Configured. Starting...
ax,ay,az,state,step_detected
Measured Frequency: 0 Hz
-0.065392,0.015616,0.775432,LOOKING_FOR_FIRST_MAX,0
-0.080032,0.010980,0.854732,LOOKING_FOR_FIRST_MAX,0
-0.084668,0.006832,0.865224,LOOKING_FOR_FIRST_MAX,0
-0.087108,0.006100,0.869616,LOOKING_FOR_FIRST_MAX,0
-0.090768,0.009028,0.884256,LOOKING_FOR_FIRST_MAX,0
-0.097112,0.004392,0.909632,LOOKING_FOR_FIRST_MAX,0
-0.105164,-0.002684,0.926468,LOOKING_FOR_FIRST_MAX,0
-0.108824,-0.002684,0.940376,LOOKING_FOR_FIRST_MAX,0
-0.113460,-0.000732,0.955748,LOOKING_FOR_FIRST_MAX,0
-0.117852,-0.000488,0.970144,LOOKING_FOR_FIRST_MAX,0
-0.124440,0.000244,0.974780,LOOKING_FOR_FIRST_MAX,0
-0.127612,0.004880,0.979416,LOOKING_FOR_FIRST_MAX,0
-0.137128,0.008784,0.979660,LOOKING_FOR_FIRST_MAX,0
-0.155184,0.001952,0.970632,LOOKING_FOR_FIRST_MAX,0
-0.119316,0.029768,1.014308,LOOKING_FOR_FIRST_MAX,0
-0.115168,0.144448,1.236348,LOOKING_FOR_FIRST_MAX,0
-0.157380,-0.181292,0.867420,LOOKING_FOR_FIRST_MAX,0
-0.063196,0.161040,1.208776,LOOKING_FOR_FIRST_MAX,0
-0.088084,0.080764,1.096536,LOOKING_FOR_FIRST_MAX,0
-0.109068,-0.139324,1.124840,LOOKING_FOR_FIRST_MAX,0
-0.088084,-0.121268,1.065792,LOOKING_FOR_FIRST_MAX,0
-0.052704,0.050996,1.240496,LOOKING_FOR_FIRST_MAX,0
-0.058560,0.001708,1.160220,LOOKING_FOR_FIRST_MAX,0
-0.065148,-0.062464,1.181204,LOOKING_FOR_FIRST_MAX,0
-0.057584,0.048068,1.196576,LOOKING_FOR_FIRST_MAX,0
-0.061244,0.053192,1.167540,LOOKING_FOR_FIRST_MAX,0
-0.061488,0.054412,1.101660,LOOKING_FOR_FIRST_MAX,0
-0.064172,0.094672,1.066524,LOOKING_FOR_FIRST_MAX,0
-0.069540,0.132492,0.954772,LOOKING_FOR_FIRST_MAX,0
-0.057340,0.138592,0.906704,LOOKING_FOR_FIRST_MAX,0
-0.012444,0.106872,0.914512,LOOKING_FOR_FIRST_MAX,0
0.013176,0.098088,0.959652,LOOKING_FOR_FIRST_MAX,0
0.024644,0.073444,0.945500,LOOKING_FOR_FIRST_MAX,0
0.029524,0.050752,0.907924,LOOKING_FOR_FIRST_MAX,0
0.031476,0.050752,0.896700,LOOKING_FOR_FIRST_MAX,0
0.029280,0.058316,0.884500,LOOKING_FOR_FIRST_MAX,0
0.018788,0.032208,0.846192,LOOKING_FOR_FIRST_MAX,0
0.018544,0.020252,0.836676,LOOKING_FOR_FIRST_MAX,0
0.021716,0.010736,0.825208,LOOKING_FOR_FIRST_MAX,0
0.037820,0.010492,0.807396,LOOKING_FOR_FIRST_MAX,0
0.041724,0.030988,0.788608,LOOKING_FOR_FIRST_MAX,0
0.040748,0.041968,0.810568,LOOKING_FOR_FIRST_MAX,0
0.038552,0.024156,0.790804,LOOKING_FOR_FIRST_MAX,0
0.029768,0.034892,0.827892,LOOKING_FOR_FIRST_MAX,0
0.000244,0.063440,0.878400,LOOKING_FOR_FIRST_MAX,0
-0.025132,0.059048,0.841312,LOOKING_FOR_FIRST_MAX,0
-0.056120,0.046604,0.906460,LOOKING_FOR_FIRST_MAX,0
-0.086376,0.000244,0.999424,LOOKING_FOR_FIRST_MAX,0
-0.091988,-0.091256,1.028216,LOOKING_FOR_FIRST_MAX,0
-0.092964,-0.119804,0.993812,LOOKING_FOR_FIRST_MAX,0
-0.039772,-0.089792,1.085312,LOOKING_FOR_FIRST_MAX,0
-0.041236,-0.093940,0.985272,LOOKING_FOR_FIRST_MAX,0
-0.039528,-0.063196,0.997228,LOOKING_FOR_FIRST_MAX,0
-0.030744,-0.033184,0.974536,LOOKING_FOR_FIRST_MAX,0
-0.021228,-0.004392,0.928420,LOOKING_FOR_FIRST_MAX,0
-0.011956,0.008296,0.908412,LOOKING_FOR_FIRST_MAX,0
0.001220,0.045140,0.897432,LOOKING_FOR_FIRST_MAX,0
0.011224,0.051240,0.883036,LOOKING_FOR_FIRST_MAX,0
0.017080,0.070516,0.871324,LOOKING_FOR_FIRST_MAX,0
0.023180,0.104432,0.878888,LOOKING_FOR_FIRST_MAX,0
0.008540,0.149084,0.854732,LOOKING_FOR_FIRST_MAX,0
-0.013176,0.176900,0.759572,LOOKING_FOR_FIRST_MAX,0
-0.030744,0.193248,0.741760,LOOKING_FOR_FIRST_MAX,0
-0.067832,0.193004,0.794708,LOOKING_FOR_FIRST_MAX,0
-0.094428,0.199592,0.822280,LOOKING_FOR_FIRST_MAX,0
-0.132736,0.209108,0.823500,LOOKING_FOR_FIRST_MAX,0
-0.180560,0.218624,0.783240,LOOKING_FOR_FIRST_MAX,0
-0.222040,0.219600,0.791536,LOOKING_FOR_FIRST_MAX,0
-0.254980,0.205692,0.810324,LOOKING_FOR_FIRST_MAX,0
-0.281576,0.185196,0.841312,LOOKING_FOR_FIRST_MAX,0
-0.293288,0.164944,0.890844,LOOKING_FOR_FIRST_MAX,0
-0.287676,0.152012,0.930128,LOOKING_FOR_FIRST_MAX,0
-0.273768,0.111020,0.957212,LOOKING_FOR_FIRST_MAX,0
-0.255224,0.082228,0.998204,LOOKING_FOR_FIRST_MAX,0
-0.238632,0.071736,1.026264,LOOKING_FOR_FIRST_MAX,0
-0.214720,0.064416,1.083848,LOOKING_FOR_FIRST_MAX,0
-0.197152,0.093940,1.091900,LOOKING_FOR_FIRST_MAX,0
-0.193492,0.176656,1.055788,LOOKING_FOR_FIRST_MAX,0
