ax,ay,az
0.138348,-0.167140,0.966972
0.140544,-0.162016,0.970876
0.143228,-0.159820,0.975512
0.146400,-0.156404,0.978928
0.148596,-0.157624,0.979172
0.149816,-0.161040,0.997960
0.155184,-0.162016,0.992836
0.159332,-0.166896,0.992836
0.162260,-0.169336,0.993080
0.160552,-0.174704,0.993568
0.157868,-0.169824,0.987468
0.162260,-0.174216,0.988444
0.161040,-0.174948,0.986248
0.158600,-0.173484,0.984784
0.157868,-0.175680,0.982344
0.158356,-0.180316,0.984540
0.158356,-0.176656,0.981612
0.156160,-0.177632,0.979660
0.154452,-0.180316,0.979904
0.152256,-0.185196,0.976732
0.149328,-0.171776,0.981124
0.145424,-0.179584,0.979904
0.138348,-0.177876,0.978684
0.136396,-0.175924,0.981124
0.137372,-0.174948,0.980392
0.133956,-0.174704,0.986736
0.132248,-0.175680,0.986248
0.131272,-0.173484,0.984052
0.131516,-0.170068,0.982588
0.133956,-0.169824,0.985760
0.136396,-0.173240,0.984052
0.138592,-0.178120,0.984784
0.139324,-0.184220,0.987956
0.136396,-0.186172,0.986004
0.139080,-0.187636,0.983808
0.139324,-0.186660,0.985028
0.136640,-0.191540,0.985516
0.135908,-0.192272,0.985516
0.137128,-0.196908,0.986004
0.137128,-0.197396,0.986004
0.134688,-0.200324,0.986736
0.132248,-0.200080,0.985760
0.129808,-0.199348,0.989664
0.131272,-0.199348,0.988932
0.134444,-0.194224,0.987712
0.134688,-0.192760,0.988200
0.135420,-0.190076,0.986248
0.138104,-0.190808,0.990884
0.144448,-0.191784,0.991860
0.145180,-0.193492,0.992592
0.146644,-0.195932,0.994544
0.144448,-0.198128,0.992836
0.144448,-0.195932,0.992348
0.142252,-0.196664,0.994056
0.144936,-0.196664,0.993080
0.145180,-0.197884,0.991616
0.148840,-0.197152,0.988688
0.149328,-0.201788,0.987712
0.150060,-0.202276,0.983808
0.150304,-0.203252,0.982832
0.149816,-0.204472,0.980148
0.149328,-0.205936,0.979660
0.147132,-0.206424,0.972584
0.141764,-0.207644,0.968924
0.142496,-0.207400,0.963312
0.146400,-0.208864,0.963800
0.150548,-0.210084,0.961604
0.153964,-0.209108,0.960872
0.157380,-0.213012,0.960872
0.158844,-0.211060,0.965020
0.155916,-0.212036,0.970876
0.151768,-0.212768,0.970876
0.148596,-0.213012,0.977220
0.146156,-0.224236,0.965996
0.139324,-0.193980,0.977464
0.139568,-0.203252,0.972828
0.138104,-0.204960,0.971852
0.134932,-0.193492,0.978684
0.124928,-0.195932,0.975024
0.127368,-0.192760,0.976000
0.128832,-0.188856,0.975268
