ax,ay,az,gx,gy,gz
0.764,-0.123,0.589,5.920,1.587,-1.892
0.758,-0.120,0.587,6.531,2.014,-1.770
0.755,-0.120,0.588,6.775,2.625,-1.831
0.759,-0.118,0.589,7.202,2.869,-2.258
0.767,-0.120,0.592,7.751,2.930,-2.197
0.779,-0.123,0.595,8.240,2.747,-1.587
0.799,-0.124,0.599,8.484,2.258,-0.427
0.799,-0.120,0.600,8.423,1.770,1.038
0.791,-0.115,0.600,8.179,1.587,3.113
0.801,-0.107,0.599,7.935,1.343,5.066
0.798,-0.103,0.592,7.324,1.404,6.409
0.778,-0.099,0.586,6.470,2.258,6.714
0.779,-0.094,0.584,5.493,3.418,7.019
0.779,-0.090,0.582,4.272,4.700,7.568
0.781,-0.088,0.583,3.418,5.249,8.423
0.786,-0.088,0.587,2.930,5.981,9.399
0.790,-0.086,0.589,2.258,6.348,10.376
0.794,-0.083,0.592,2.014,6.165,11.169
0.795,-0.078,0.595,1.953,5.737,11.780
0.797,-0.072,0.595,1.709,5.737,12.268
0.799,-0.067,0.595,1.892,5.981,12.634
0.795,-0.069,0.594,2.075,6.592,12.817
0.791,-0.068,0.593,2.319,7.874,12.146
0.790,-0.065,0.590,2.441,8.667,11.292
0.789,-0.064,0.583,2.625,9.460,10.193
0.793,-0.059,0.578,2.808,10.132,9.277
0.800,-0.052,0.575,3.296,10.132,8.789
0.799,-0.047,0.572,3.418,9.705,8.179
0.795,-0.039,0.569,3.723,8.484,7.385
0.789,-0.032,0.567,4.333,7.263,6.287
0.788,-0.031,0.566,5.005,6.409,5.371
0.787,-0.030,0.566,5.066,6.104,4.822
0.782,-0.030,0.566,4.578,5.676,4.822
0.782,-0.032,0.565,4.333,5.981,4.456
0.778,-0.034,0.565,4.089,6.165,3.967
0.773,-0.037,0.564,3.662,6.470,3.357
0.770,-0.040,0.562,2.991,6.775,3.235
0.767,-0.042,0.560,2.502,7.019,3.479
0.764,-0.042,0.557,1.709,7.080,3.723
0.766,-0.045,0.556,1.526,7.019,4.150
0.778,-0.049,0.555,1.648,6.470,4.089
0.779,-0.052,0.557,1.648,5.859,3.479
0.773,-0.061,0.559,1.587,5.066,2.747
0.774,-0.066,0.563,1.709,4.211,2.136
0.778,-0.069,0.565,1.709,3.357,1.892
0.775,-0.072,0.567,1.892,2.747,2.258
0.769,-0.073,0.565,2.075,2.502,2.808
0.772,-0.071,0.564,2.075,2.502,3.235
0.777,-0.069,0.560,1.526,2.991,3.418
0.777,-0.068,0.556,1.526,3.601,3.479
0.777,-0.068,0.550,1.404,3.967,3.052
0.779,-0.069,0.550,1.221,3.906,2.136
0.781,-0.070,0.551,1.343,3.906,1.831
0.787,-0.074,0.553,1.282,3.601,1.770
0.790,-0.076,0.555,0.977,3.174,2.197
0.790,-0.078,0.558,0.977,2.747,2.563
0.791,-0.080,0.562,1.160,1.953,3.174
0.792,-0.079,0.564,1.404,1.282,3.601
0.792,-0.079,0.566,1.526,0.977,3.967
0.795,-0.076,0.567,1.465,0.732,4.578
0.799,-0.074,0.570,1.343,0.610,4.944
0.796,-0.074,0.572,1.282,0.671,4.822
0.793,-0.073,0.572,1.587,1.038,4.761
0.792,-0.073,0.570,1.587,1.648,4.395
0.795,-0.074,0.569,1.709,2.319,4.211
0.794,-0.073,0.569,1.648,2.625,4.456
0.793,-0.073,0.568,1.831,2.747,4.395
0.794,-0.073,0.565,2.014,3.113,4.150
0.796,-0.075,0.564,2.319,3.113,3.906
0.798,-0.078,0.565,2.502,2.991,3.845
0.800,-0.079,0.566,2.563,2.869,3.967
0.801,-0.079,0.568,2.930,2.686,4.089
0.801,-0.080,0.571,3.174,2.380,4.211
0.800,-0.077,0.572,3.113,1.831,4.211
0.800,-0.074,0.575,3.235,1.526,4.272
0.797,-0.069,0.573,3.357,1.343,4.395
0.794,-0.067,0.572,3.479,1.709,4.578
0.790,-0.066,0.568,2.869,2.441,4.761
0.786,-0.063,0.566,2.625,2.930,5.066
0.783,-0.060,0.565,2.197,3.540,5.188
0.783,-0.058,0.563,2.075,3.723,5.310
0.782,-0.056,0.562,1.648,4.089,5.371
0.780,-0.054,0.559,1.465,3.723,5.676
0.777,-0.052,0.556,1.343,3.601,5.798
0.775,-0.049,0.553,1.282,3.479,5.859
0.775,-0.048,0.553,1.160,3.540,5.920
0.779,-0.047,0.553,1.099,3.662,5.859
0.781,-0.043,0.553,0.977,3.601,5.554
0.783,-0.042,0.552,0.793,3.113,5.310
0.783,-0.040,0.552,0.854,2.625,4.944
0.783,-0.037,0.549,0.793,2.380,4.761
0.780,-0.034,0.546,0.549,2.502,4.944
0.778,-0.032,0.544,0.244,2.563,4.822
0.777,-0.030,0.543,-0.183,2.441,4.578
0.776,-0.026,0.539,-0.427,2.869,3.967
0.776,-0.026,0.536,-0.854,2.991,3.723
0.776,-0.029,0.534,-1.160,2.808,3.784
0.773,-0.033,0.535,-1.404,2.563,3.723
0.767,-0.036,0.533,-1.648,2.075,3.357
0.763,-0.041,0.531,-1.587,1.038,2.808
0.770,-0.042,0.530,-1.404,0.000,2.502
0.776,-0.045,0.530,-1.160,-0.732,2.808
0.777,-0.053,0.534,-1.038,-1.282,2.991
0.781,-0.059,0.541,-0.793,-1.770,3.052
0.786,-0.066,0.548,-0.366,-2.136,2.502
0.792,-0.074,0.554,-0.183,-2.380,1.831
0.795,-0.081,0.561,0.305,-3.235,1.221
0.794,-0.086,0.568,0.793,-3.845,1.038
0.794,-0.091,0.571,1.404,-4.517,1.404
0.794,-0.093,0.575,2.075,-4.517,2.197
0.790,-0.097,0.578,2.563,-4.150,3.296
0.788,-0.101,0.578,2.380,-3.174,3.479
0.786,-0.103,0.578,2.441,-2.136,3.296
0.784,-0.105,0.577,2.258,-0.977,2.930
0.782,-0.108,0.574,2.441,0.427,2.991
0.784,-0.110,0.571,2.563,1.770,2.930
0.785,-0.110,0.568,2.502,2.441,3.357
0.784,-0.110,0.567,2.808,2.625,4.089
0.785,-0.105,0.567,3.357,1.465,4.700
0.792,-0.096,0.572,3.967,0.183,5.188
0.790,-0.096,0.577,4.700,-0.977,5.676
0.790,-0.091,0.582,5.432,-1.892,6.653
0.791,-0.087,0.587,5.615,-1.953,7.690
0.794,-0.081,0.590,5.859,-1.587,8.606
0.795,-0.076,0.592,5.798,-0.854,9.399
0.798,-0.066,0.591,5.798,0.244,9.827
0.800,-0.053,0.587,5.127,1.465,9.949
0.798,-0.044,0.583,4.578,2.502,9.766
0.798,-0.038,0.578,4.517,3.357,9.583
0.798,-0.029,0.573,4.150,4.028,9.460
0.798,-0.021,0.567,3.540,4.395,9.583
0.795,-0.016,0.564,3.174,4.578,9.705
0.794,-0.012,0.559,3.418,4.639,9.583
