ax,ay,az
0.119072,0.015372,1.000400
0.127368,0.013908,1.000644
0.167872,0.001220,1.002108
0.178120,-0.005124,0.998692
0.153232,-0.006588,0.999668
0.130296,-0.000732,1.004792
0.119316,0.004148,1.015284
0.108092,0.009516,1.017968
0.101260,0.010736,1.020164
0.102968,0.008296,1.026996
0.106628,0.013908,1.029192
0.114436,0.022936,1.040904
0.117120,0.026840,1.019920
0.132004,0.021472,1.021628
0.142008,0.020496,1.017968
0.142496,0.020252,1.006256
0.136396,0.012932,1.009184
0.128588,0.012932,1.006500
0.118340,0.010980,1.006256
0.110288,0.008296,1.003084
0.109800,0.016348,1.000888
0.112240,0.024400,1.001132
0.119072,0.033428,0.997472
0.123464,0.032696,0.998692
0.127368,0.010980,0.988444
0.128832,-0.009028,0.984052
0.130784,-0.011468,0.991616
0.124440,-0.000732,0.996984
0.115900,0.007808,1.002596
0.111752,0.010736,1.009428
0.105408,0.020008,1.012844
0.101992,0.023912,1.012844
0.100772,0.036600,0.939156
0.095160,0.048068,0.961604
0.104920,0.039772,0.963556
0.113948,0.035624,0.976000
0.122732,0.027572,0.989664
0.125904,0.009516,0.995764
0.124196,-0.001708,0.980148
0.121024,-0.021960,0.984296
0.119804,-0.022692,0.991616
0.118828,-0.015616,1.013332
0.116632,-0.023668,1.031144
0.115412,-0.027328,1.049200
0.111752,-0.023668,1.048224
0.109312,-0.018788,1.033340
0.107360,-0.021960,1.009428
0.109068,-0.024400,1.000644
0.109556,-0.019032,1.000644
0.106628,-0.016348,1.011380
0.106872,-0.011224,1.023580
0.107604,-0.007320,1.026020
0.105896,-0.012688,1.021384
0.103700,-0.021960,1.020652
0.098088,-0.026352,1.012356
0.088816,-0.032696,0.999912
0.089548,-0.026108,0.996984
0.094184,-0.021472,0.996496
0.097600,-0.019520,1.001864
0.094672,-0.018056,1.009916
0.087108,-0.021472,1.002840
0.075884,-0.024888,0.995764
0.066612,-0.023668,0.978684
0.059536,-0.020008,0.963556
0.055632,-0.017568,0.956236
0.057340,-0.023180,0.959896
0.061488,-0.030256,0.968680
0.063196,-0.030256,0.973804
0.067588,-0.031232,0.978684
0.071736,-0.030500,0.980636
0.074420,-0.034892,0.980148
0.080764,-0.038796,0.984296
0.086620,-0.036844,0.985272
0.089304,-0.035380,0.982832
0.091500,-0.033916,0.980636
0.097844,-0.047824,0.983564
0.103944,-0.055632,0.996740
0.110532,-0.056608,1.010892
0.113216,-0.047824,1.019432
0.114680,-0.042700,1.018944
0.120048,-0.036600,1.018700
0.117608,-0.033916,1.020896
0.115900,-0.029768,1.016992
0.113948,-0.023912,1.005036
0.113948,-0.017568,1.000400
0.111020,-0.014152,1.000156
0.113704,-0.005612,0.994544
0.115168,-0.002928,0.985272
0.114680,-0.000732,0.977952
0.115656,-0.002928,0.979172
0.114192,-0.009516,0.989664
0.106140,-0.019032,0.999912
0.099308,-0.019520,1.003084
0.092232,-0.011956,1.004548
0.096136,-0.007320,1.004304
0.092232,-0.015372,1.005768
0.081496,-0.025620,1.011868
0.068808,-0.028548,1.024312
0.071736,-0.014152,1.029192
0.079788,0.000732,1.025776
0.051728,0.106140,1.095072
0.004880,0.096868,1.063352
0.017812,0.002684,0.983320
0.075152,-0.014396,0.935252
0.114680,-0.015616,0.919880
0.138348,-0.046116,0.980880
0.152256,-0.060756,1.044320
0.155428,-0.050752,1.062376
0.158356,-0.043920,1.034316
0.153232,-0.046848,0.996984
0.146400,-0.056608,0.965508
0.140788,-0.065392,0.943060
0.131272,-0.071492,0.934032
0.122976,-0.053924,0.944280
0.107604,-0.017080,0.993080
0.090524,-0.020984,1.000888
0.091256,-0.033916,1.001132
0.087108,-0.033672,1.000400
0.079300,-0.014396,1.000644
0.072224,-0.001464,1.010160
0.068808,0.004636,1.016504
0.070516,-0.009272,1.017480
0.081008,-0.041968,1.009184
0.092964,-0.061732,1.013820
0.101016,-0.061244,1.015528
0.104432,-0.056852,1.004548
0.086864,-0.067588,1.036756
0.084424,-0.114436,1.035780
0.178608,-0.063440,0.914024
0.213500,-0.044896,0.891332
0.180560,-0.061244,0.918660
0.132980,-0.072712,0.972828
0.092720,-0.066612,1.012600
0.074664,-0.066612,1.021384
0.089792,-0.070516,0.980880
0.107604,-0.068564,0.968192
0.118828,-0.070760,0.974780
0.122000,-0.074420,0.989420
0.119804,-0.075396,1.000644
0.114436,-0.070760,1.005036
0.111264,-0.066368,1.004548
0.109800,-0.065880,1.000156
0.114680,-0.092720,0.969656
0.116388,-0.071492,0.984784
0.124196,-0.058072,0.985516
0.128588,-0.060512,0.992348
0.130052,-0.070272,0.999180
0.129320,-0.072712,0.998692
0.128588,-0.066612,0.996984
0.127124,-0.064660,0.997960
0.127612,-0.062464,0.998448
0.130784,-0.058560,1.000400
0.132004,-0.053680,1.000400
0.127856,-0.049532,1.003572
0.125904,-0.045872,1.001864
0.122488,-0.045140,1.000400
0.120292,-0.044652,1.000156
0.118584,-0.045628,1.000888
0.119560,-0.044164,1.006744
0.120536,-0.046604,1.010404
0.121268,-0.043188,1.017724
0.121024,-0.039772,1.019432
0.121268,-0.042456,1.017968
0.120536,-0.043188,1.020652
0.118584,-0.044652,1.016992
0.114680,-0.046604,1.017968
0.115656,-0.049532,1.011624
0.114192,-0.056852,1.009672
0.114436,-0.061488,1.003572
0.114680,-0.061976,1.000644
0.112728,-0.062708,0.999668
0.115656,-0.059292,0.996496
0.117364,-0.057096,1.000400
0.124684,-0.041968,1.000400
0.126880,-0.037088,0.995520
0.130784,-0.034404,0.993080
0.129808,-0.028060,0.994788
0.133224,-0.025864,0.998692
0.134688,-0.027816,1.000400
0.135664,-0.027572,0.996008
