ax,ay,az,gx,gy,gz
-0.207,-0.251,0.941,1.953,0.854,1.770
-0.209,-0.264,0.954,1.648,1.709,1.892
-0.211,-0.280,0.947,2.014,1.404,2.014
-0.210,-0.278,0.932,1.221,0.793,1.770
-0.204,-0.253,0.934,1.160,1.038,1.343
-0.204,-0.227,0.966,2.075,2.441,0.793
-0.215,-0.219,1.000,3.479,3.296,1.282
-0.223,-0.230,1.000,4.639,2.197,2.563
-0.220,-0.249,0.987,4.333,0.977,3.723
-0.225,-0.264,0.972,3.845,0.305,4.517
-0.216,-0.270,0.974,4.517,0.549,4.333
-0.209,-0.260,0.991,5.310,1.221,3.601
-0.214,-0.248,1.007,5.676,0.854,3.113
-0.219,-0.255,1.011,5.737,-0.366,3.479
-0.223,-0.273,0.998,5.554,-1.648,4.028
-0.220,-0.289,0.981,4.456,-2.319,4.089
-0.213,-0.287,0.967,3.540,-2.747,3.540
-0.210,-0.272,0.980,3.174,-2.625,2.686
-0.213,-0.262,0.996,2.625,-2.563,2.258
-0.222,-0.259,0.987,2.075,-3.601,2.441
-0.228,-0.271,0.959,1.953,-5.493,2.930
-0.229,-0.289,0.921,1.526,-6.348,3.540
-0.227,-0.301,0.894,0.977,-6.104,3.357
-0.215,-0.294,0.893,0.916,-4.822,2.625
-0.214,-0.271,0.918,0.977,-2.869,1.953
-0.222,-0.258,0.930,1.038,-2.380,1.526
-0.229,-0.259,0.919,1.526,-2.502,2.197
-0.232,-0.276,0.898,1.465,-2.625,3.235
-0.230,-0.293,0.881,0.916,-2.563,3.967
-0.224,-0.301,0.880,0.671,-1.892,3.662
-0.221,-0.280,0.900,0.854,-0.488,2.502
-0.225,-0.244,0.925,0.854,0.122,1.465
-0.237,-0.229,0.922,1.709,-0.061,1.770
-0.240,-0.240,0.899,2.319,-0.977,3.174
-0.236,-0.254,0.871,2.258,-1.282,4.395
-0.234,-0.267,0.856,2.319,-0.610,4.761
-0.229,-0.282,0.858,2.808,0.671,4.761
-0.228,-0.286,0.869,3.296,2.136,4.150
-0.229,-0.280,0.868,2.808,2.747,3.845
-0.226,-0.268,0.857,1.892,3.052,3.601
-0.227,-0.244,0.858,1.404,3.662,3.418
-0.231,-0.220,0.872,1.709,4.822,3.479
-0.233,-0.219,0.892,2.869,5.920,3.967
-0.224,-0.249,0.909,4.395,6.836,5.188
-0.216,-0.281,0.914,5.005,7.141,5.981
-0.210,-0.311,0.916,4.333,6.836,6.470
-0.213,-0.323,0.919,3.174,6.775,5.859
-0.213,-0.307,0.927,2.380,6.897,4.456
-0.217,-0.286,0.943,2.808,7.080,2.808
-0.225,-0.260,0.948,3.723,7.141,2.197
-0.225,-0.251,0.952,3.418,7.019,2.747
-0.218,-0.257,0.960,2.258,7.080,3.906
-0.208,-0.268,0.973,2.319,7.385,4.944
-0.208,-0.273,0.996,2.930,7.935,5.005
-0.216,-0.283,1.010,4.089,7.751,4.700
-0.218,-0.293,1.005,5.005,6.836,4.700
-0.216,-0.296,1.000,4.272,5.554,4.822
-0.211,-0.297,1.000,2.747,4.822,4.700
-0.212,-0.293,1.010,2.075,4.700,4.395
-0.220,-0.286,1.016,2.014,4.395,3.296
-0.231,-0.274,1.015,2.258,3.601,2.441
-0.228,-0.266,1.006,2.808,2.686,2.075
-0.223,-0.256,1.008,2.258,2.380,2.075
-0.226,-0.246,1.014,1.709,2.197,2.197
-0.227,-0.239,1.013,1.404,1.404,2.441
-0.226,-0.233,1.003,1.282,0.366,2.991
-0.221,-0.226,0.980,0.366,-0.732,3.845
-0.216,-0.206,0.959,-0.610,-1.465,4.761
-0.215,-0.186,0.943,-1.160,-1.709,6.165
-0.211,-0.188,0.933,-0.305,-1.648,7.874
-0.209,-0.214,0.924,1.099,-1.709,9.827
-0.205,-0.261,0.923,1.221,-1.343,11.169
-0.210,-0.310,0.925,0.854,-0.977,11.780
-0.215,-0.333,0.931,0.122,-0.793,10.986
-0.223,-0.312,0.939,-0.793,-0.610,9.216
-0.235,-0.283,0.949,-0.549,-0.610,7.202
-0.245,-0.268,0.942,0.793,-1.099,6.409
-0.246,-0.260,0.925,1.343,-1.892,6.470
-0.244,-0.263,0.906,1.709,-2.319,7.141
-0.244,-0.278,0.891,2.808,-2.319,7.812
-0.245,-0.285,0.889,2.808,-1.953,7.935
-0.253,-0.287,0.891,2.930,-1.343,7.751
-0.255,-0.283,0.897,3.784,-0.610,7.629
-0.256,-0.278,0.910,4.639,0.427,7.751
-0.245,-0.280,0.921,5.005,1.282,7.874
-0.231,-0.283,0.926,4.944,1.404,8.240
-0.222,-0.292,0.932,5.432,1.160,8.850
-0.219,-0.304,0.935,5.493,0.671,9.277
-0.225,-0.320,0.932,5.676,0.061,9.583
-0.220,-0.322,0.916,6.775,-0.977,9.216
-0.228,-0.307,0.911,7.446,-1.526,8.484
-0.241,-0.295,0.911,7.812,-1.404,8.301
-0.237,-0.290,0.911,9.094,-0.854,8.728
-0.237,-0.280,0.925,10.193,-0.244,9.705
-0.238,-0.280,0.935,10.681,0.061,10.925
-0.241,-0.309,0.932,11.475,-0.366,12.878
-0.237,-0.363,0.925,11.963,-0.549,15.015
-0.227,-0.408,0.925,10.742,-0.488,16.052
-0.229,-0.436,0.929,9.460,-0.366,15.503
-0.228,-0.454,0.934,9.949,-0.122,13.733
-0.217,-0.453,0.949,10.681,0.000,11.414
-0.219,-0.440,0.964,10.437,0.305,8.850
-0.230,-0.418,0.970,9.705,0.183,6.592
-0.233,-0.404,0.977,8.667,-0.610,4.944
-0.224,-0.404,0.986,8.179,-1.038,3.540
-0.230,-0.394,0.980,7.446,-1.526,1.770
-0.235,-0.373,0.962,5.493,-2.197,-0.122
-0.236,-0.349,0.935,4.578,-2.869,-1.343
-0.243,-0.317,0.918,4.272,-3.418,-2.563
-0.255,-0.298,0.921,3.906,-3.052,-3.235
-0.259,-0.316,0.934,3.784,-2.197,-2.991
-0.263,-0.329,0.944,3.906,-1.465,-3.113
-0.263,-0.333,0.938,3.479,-1.282,-3.845
-0.265,-0.329,0.940,3.296,-0.977,-4.395
-0.257,-0.323,0.949,4.089,-0.122,-5.127
-0.254,-0.290,0.959,4.028,0.671,-5.676
-0.255,-0.233,0.974,2.441,0.854,-5.676
-0.252,-0.203,0.982,1.587,0.183,-4.883
-0.247,-0.197,0.970,2.136,-0.732,-2.930
-0.247,-0.191,0.942,2.441,-1.831,-1.099
-0.253,-0.204,0.921,2.808,-2.258,0.305
-0.247,-0.240,0.911,4.028,-2.136,2.075
-0.240,-0.278,0.908,4.944,-1.770,2.869
-0.244,-0.318,0.911,5.493,-0.977,2.930
-0.241,-0.352,0.914,4.944,0.000,2.258
-0.242,-0.339,0.916,3.845,0.793,0.366
-0.246,-0.291,0.921,3.418,1.526,-1.526
-0.243,-0.245,0.928,4.517,2.136,-2.869
-0.252,-0.204,0.939,5.981,2.380,-2.808
-0.249,-0.190,0.936,6.775,2.380,-1.526
-0.233,-0.209,0.936,7.568,2.258,0.610
-0.220,-0.253,0.949,7.568,2.441,3.052
-0.222,-0.317,0.957,7.019,2.197,4.822
-0.232,-0.373,0.941,6.592,1.160,5.188
-0.238,-0.389,0.917,5.554,-0.061,3.418
-0.234,-0.363,0.902,4.028,-0.549,0.977
-0.241,-0.310,0.896,3.357,-0.122,-0.916
-0.255,-0.264,0.881,4.089,-0.183,-1.648
-0.249,-0.258,0.859,5.371,0.122,-1.038
-0.231,-0.266,0.851,5.615,1.099,0.122
-0.219,-0.281,0.864,4.456,3.418,1.465
-0.212,-0.308,0.887,2.441,5.493,2.625
-0.195,-0.318,0.917,-0.793,6.958,2.747
-0.197,-0.298,0.946,-4.272,7.385,2.197
-0.199,-0.272,0.957,-6.836,6.958,1.404
-0.201,-0.267,0.969,-8.606,5.981,1.221
-0.205,-0.292,0.977,-10.559,4.822,1.648
-0.202,-0.304,0.957,-11.780,3.540,1.404
-0.198,-0.292,0.933,-12.146,1.892,0.122
-0.209,-0.254,0.921,-11.292,1.282,-1.892
-0.229,-0.222,0.906,-9.644,1.221,-3.540
-0.229,-0.204,0.889,-7.263,1.587,-3.784
-0.242,-0.173,0.893,-5.920,2.869,-3.723
-0.255,-0.135,0.909,-4.639,5.066,-3.296
-0.252,-0.122,0.939,-2.380,7.385,-1.770
-0.241,-0.153,0.981,0.305,9.338,0.610
-0.227,-0.225,1.016,2.258,10.376,3.296
-0.220,-0.294,1.030,1.709,9.583,4.639
-0.231,-0.327,1.034,0.366,7.751,3.784
-0.242,-0.331,1.032,-1.038,5.493,1.831
-0.252,-0.317,1.021,-1.831,3.601,-0.305
-0.256,-0.272,1.005,-2.808,1.953,-1.892
-0.270,-0.201,1.001,-3.784,0.671,-2.686
-0.281,-0.150,1.000,-3.540,-0.488,-1.770
-0.276,-0.142,0.994,-2.441,-1.465,0.244
-0.279,-0.141,0.975,-1.770,-2.197,3.235
-0.279,-0.162,0.946,-0.305,-2.747,6.042
-0.278,-0.214,0.917,1.770,-2.930,8.850
-0.271,-0.267,0.908,3.540,-2.441,10.498
-0.270,-0.307,0.913,4.150,-1.587,10.925
-0.267,-0.329,0.923,4.272,-0.610,10.071
-0.257,-0.321,0.928,4.578,-0.244,8.606
-0.260,-0.285,0.934,4.761,-0.610,7.263
-0.264,-0.244,0.934,4.700,-0.854,6.653
-0.261,-0.224,0.936,4.822,-0.854,7.568
-0.255,-0.242,0.939,5.127,-0.854,9.338
-0.251,-0.269,0.929,5.188,-1.221,10.925
-0.247,-0.270,0.918,4.333,-1.770,11.414
-0.251,-0.271,0.914,3.662,-1.648,11.719
-0.251,-0.301,0.910,4.028,-1.526,12.146
-0.250,-0.320,0.908,3.540,-1.221,11.658
-0.251,-0.316,0.898,2.502,-1.038,10.376
-0.250,-0.311,0.882,2.441,-0.610,9.094
-0.251,-0.312,0.869,2.747,-0.061,8.179
-0.252,-0.300,0.867,2.441,1.221,7.568
-0.250,-0.276,0.887,1.892,2.686,7.263
-0.240,-0.268,0.908,0.916,4.333,7.812
-0.251,-0.274,0.928,-0.305,4.944,8.606
-0.250,-0.292,0.921,-0.671,4.883,9.583
-0.247,-0.324,0.905,-0.183,4.456,10.376
-0.250,-0.356,0.899,-0.488,5.005,10.315
-0.245,-0.377,0.905,-1.099,6.104,9.216
-0.235,-0.376,0.923,-1.648,6.714,7.629
-0.233,-0.343,0.945,-2.319,6.775,5.615
-0.247,-0.307,0.958,-3.296,6.165,4.456
-0.256,-0.286,0.957,-3.967,5.188,4.150
-0.263,-0.287,0.945,-3.052,3.784,4.395
-0.262,-0.287,0.929,-1.831,2.930,4.395
-0.272,-0.286,0.921,-1.221,2.930,4.211
-0.274,-0.288,0.918,-0.366,3.418,4.211
-0.271,-0.294,0.925,0.305,4.456,4.517
-0.264,-0.297,0.937,0.549,5.493,4.395
-0.265,-0.288,0.953,1.160,5.981,4.089
-0.269,-0.288,0.955,2.136,6.104,4.028
-0.259,-0.301,0.958,2.808,5.798,4.517
-0.252,-0.315,0.968,2.625,5.371,4.639
-0.249,-0.318,0.973,2.014,4.883,4.028
-0.242,-0.315,0.975,1.587,3.784,3.235
-0.244,-0.299,0.973,0.977,2.502,2.197
-0.248,-0.282,0.964,0.916,1.099,1.343
-0.246,-0.267,0.951,0.977,0.061,1.465
-0.250,-0.266,0.941,1.099,-0.244,1.953
-0.255,-0.287,0.926,1.648,-0.671,2.686
-0.252,-0.306,0.911,2.319,-0.671,3.052
-0.250,-0.304,0.908,2.197,0.244,2.502
-0.251,-0.292,0.911,2.380,1.343,1.770
-0.253,-0.282,0.926,2.258,2.563,1.831
-0.250,-0.280,0.937,2.258,2.991,1.953
-0.251,-0.286,0.935,2.441,3.052,2.075
-0.243,-0.277,0.932,2.625,3.113,1.892
-0.244,-0.267,0.946,2.319,3.357,1.831
-0.245,-0.279,0.959,2.319,3.479,2.258
-0.245,-0.302,0.958,2.075,2.991,2.563
-0.245,-0.320,0.947,1.343,2.075,2.014
-0.245,-0.312,0.930,0.854,1.587,0.793
-0.238,-0.266,0.924,0.793,1.343,-0.610
-0.245,-0.239,0.937,1.465,1.587,-0.977
-0.251,-0.244,0.943,2.502,1.709,-0.305
-0.246,-0.270,0.938,2.563,1.404,0.671
-0.247,-0.292,0.929,1.892,1.526,0.977
-0.252,-0.297,0.914,1.953,1.526,0.549
-0.250,-0.271,0.905,2.380,2.075,-0.427
-0.247,-0.227,0.924,3.174,2.930,-1.038
-0.258,-0.205,0.953,2.991,3.906,-0.366
-0.255,-0.231,0.963,3.296,3.845,1.587
-0.247,-0.274,0.953,3.662,3.357,3.174
-0.244,-0.300,0.935,3.174,2.686,3.174
-0.239,-0.292,0.925,2.869,2.563,2.258
-0.250,-0.260,0.934,2.563,2.930,0.977
-0.254,-0.244,0.945,2.991,3.113,0.916
-0.249,-0.253,0.946,3.479,2.808,1.953
-0.247,-0.277,0.935,3.540,2.258,2.808
-0.246,-0.288,0.919,3.723,2.014,2.747
-0.239,-0.280,0.908,4.333,2.258,1.770
-0.237,-0.256,0.920,4.639,3.235,1.099
-0.245,-0.249,0.946,4.150,4.089,1.404
-0.250,-0.262,0.950,3.845,3.845,2.502
-0.244,-0.285,0.939,4.028,3.113,3.357
-0.239,-0.296,0.927,3.601,2.869,3.296
-0.241,-0.290,0.922,3.540,2.930,2.625
-0.241,-0.267,0.933,3.845,3.357,1.892
-0.248,-0.253,0.956,3.784,3.845,2.014
-0.250,-0.269,0.967,3.845,3.845,2.869
-0.251,-0.288,0.958,3.967,3.052,3.357
-0.247,-0.302,0.941,4.150,2.441,3.235
-0.241,-0.297,0.939,4.150,2.502,2.991
-0.240,-0.279,0.960,4.150,3.174,2.197
-0.241,-0.271,0.987,4.150,3.662,2.075
-0.247,-0.281,1.000,3.601,3.113,2.380
-0.241,-0.294,0.984,3.052,1.770,2.502
-0.238,-0.309,0.958,2.991,0.183,2.502
-0.240,-0.306,0.939,2.625,-0.244,1.709
-0.242,-0.281,0.942,2.869,0.061,0.366
-0.236,-0.248,0.959,3.296,0.610,-0.427
-0.244,-0.228,0.978,3.418,0.793,-0.122
-0.248,-0.233,0.975,3.540,-0.183,0.977
-0.246,-0.261,0.949,3.967,-1.282,2.136
-0.242,-0.289,0.930,4.272,-1.465,2.808
-0.237,-0.298,0.926,4.333,-0.854,2.136
-0.232,-0.291,0.937,4.028,0.000,1.221
-0.229,-0.282,0.966,3.418,0.732,0.549
-0.236,-0.283,0.986,2.625,0.427,0.549
-0.241,-0.296,0.967,2.502,-0.793,0.366
-0.242,-0.302,0.933,2.502,-2.014,0.061
-0.244,-0.288,0.912,2.930,-2.197,-0.488
-0.246,-0.266,0.901,3.601,-1.831,-0.854
-0.247,-0.273,0.906,3.906,-0.671,-0.549
-0.246,-0.292,0.912,3.479,0.305,0.061
-0.239,-0.315,0.911,3.113,0.671,0.122
-0.235,-0.325,0.907,2.869,1.343,-0.305
-0.228,-0.306,0.917,2.319,2.258,-1.221
-0.235,-0.271,0.936,1.892,2.808,-2.258
-0.237,-0.252,0.956,1.953,2.930,-2.258
-0.237,-0.247,0.959,2.075,2.441,-1.648
-0.241,-0.259,0.949,2.319,1.221,-0.854
-0.245,-0.268,0.933,2.258,0.549,-0.549
-0.248,-0.278,0.927,2.136,0.488,-0.549
-0.243,-0.275,0.925,2.075,0.793,-0.793
-0.245,-0.265,0.933,2.319,1.282,-1.404
-0.253,-0.257,0.935,2.808,1.465,-1.709
-0.254,-0.262,0.929,3.296,1.465,-1.404
-0.256,-0.268,0.919,3.601,1.404,-1.282
-0.248,-0.267,0.913,3.845,1.709,-1.648
-0.250,-0.256,0.912,3.784,2.075,-2.136
-0.253,-0.231,0.915,2.563,2.441,-2.197
-0.259,-0.215,0.918,2.625,2.441,-1.465
-0.258,-0.214,0.920,3.662,2.441,-0.366
-0.256,-0.228,0.925,3.784,2.747,0.671
-0.253,-0.248,0.929,3.662,3.174,1.831
-0.253,-0.259,0.933,3.723,3.540,2.136
-0.259,-0.256,0.929,3.845,3.479,2.197
-0.256,-0.261,0.931,3.296,3.601,2.747
-0.254,-0.267,0.942,2.502,4.150,2.991
-0.256,-0.269,0.959,1.892,4.883,2.686
-0.261,-0.265,0.966,1.221,4.639,2.258
-0.266,-0.242,0.967,0.366,3.784,1.831
-0.276,-0.217,0.956,0.854,2.869,1.709
-0.280,-0.202,0.944,1.587,2.686,2.258
-0.280,-0.195,0.945,1.953,2.563,3.235
-0.284,-0.208,0.957,2.380,2.808,4.395
-0.276,-0.234,0.961,2.686,2.808,5.737
-0.276,-0.256,0.964,2.380,2.625,6.714
-0.273,-0.266,0.963,2.014,2.625,7.080
-0.277,-0.272,0.964,2.686,2.441,6.958
-0.277,-0.282,0.967,3.540,2.197,6.897
-0.276,-0.296,0.966,3.723,1.587,6.958
-0.270,-0.305,0.960,3.845,1.099,7.202
-0.264,-0.305,0.956,3.601,0.732,6.775
-0.263,-0.301,0.957,3.235,0.366,6.104
-0.264,-0.301,0.955,3.113,0.122,5.859
-0.265,-0.299,0.951,2.686,-0.305,5.493
-0.265,-0.286,0.943,2.319,-0.488,5.066
-0.264,-0.268,0.942,2.319,-0.793,4.700
-0.271,-0.259,0.939,2.380,-1.038,5.066
-0.266,-0.264,0.940,2.625,-1.160,5.737
-0.266,-0.279,0.936,2.563,-1.343,6.470
-0.266,-0.295,0.927,2.502,-1.587,6.897
-0.265,-0.305,0.922,2.441,-1.648,6.897
-0.266,-0.304,0.923,2.197,-1.465,6.470
-0.271,-0.295,0.920,1.526,-1.160,5.859
-0.272,-0.285,0.914,1.892,-1.099,5.493
