ax,ay,az,state,ultrasound,stepdetected
0.124196,0.071492,0.983564,LOOKING_FOR_MIN,0.520000,0
0.131272,0.059048,1.000156,LOOKING_FOR_MIN,0.520000,0
0.134444,0.046360,1.010404,LOOKING_FOR_MIN,0.520000,0
0.089060,0.036356,1.000644,LOOKING_FOR_MIN,0.520000,0
0.086864,0.010004,0.992104,LOOKING_FOR_MIN,0.520000,0
0.090280,0.011712,1.000400,LOOKING_FOR_MIN,0.520000,0
0.076372,0.005368,0.982100,LOOKING_FOR_MIN,0.520000,0
0.069540,-0.011468,0.993324,LOOKING_FOR_MIN,0.520000,0
0.068564,-0.009760,1.009672,LOOKING_FOR_MIN,0.520000,0
0.070760,0.038796,1.013820,LOOKING_FOR_MIN,0.520000,0
0.061000,-0.037820,1.027240,LOOKING_FOR_MIN,0.520000,0
0.050752,0.008052,0.977220,LOOKING_FOR_MIN,0.520000,0
0.035136,0.114436,0.558272,LOOKING_FOR_MIN,0.520000,0
0.094428,0.055632,0.986004,LOOKING_FOR_MIN,0.520000,0
0.112484,0.077104,1.006256,LOOKING_FOR_MIN,0.520000,0
0.104188,0.061976,0.978928,LOOKING_FOR_MIN,0.520000,0
0.068076,0.029768,0.991860,LOOKING_FOR_MIN,0.520000,0
0.060756,-0.005612,1.000400,LOOKING_FOR_MIN,0.520000,0
0.060512,-0.008296,0.992104,LOOKING_FOR_MIN,0.520000,0
0.056364,-0.013176,0.990884,LOOKING_FOR_MIN,0.520000,0
0.052704,0.007564,0.985760,LOOKING_FOR_MIN,0.520000,0
0.094184,0.052216,0.979904,LOOKING_FOR_MIN,0.520000,0
0.102480,0.075152,0.978928,LOOKING_FOR_MIN,0.520000,0
0.095160,0.059780,0.975512,LOOKING_FOR_MIN,0.520000,0
0.055876,0.025620,0.975024,LOOKING_FOR_MIN,0.520000,0
0.043432,0.018544,0.976488,LOOKING_FOR_MIN,0.520000,0
0.043920,0.019032,0.971608,LOOKING_FOR_MIN,0.520000,0
0.048556,0.020496,0.974536,LOOKING_FOR_MIN,0.520000,0
0.058560,0.028304,0.986248,LOOKING_FOR_MIN,0.520000,0
0.055876,0.028792,0.988200,LOOKING_FOR_MIN,0.520000,0
0.059048,0.025620,0.998448,LOOKING_FOR_MIN,0.520000,0
0.060512,0.016836,1.018212,LOOKING_FOR_MIN,0.520000,0
0.062220,0.018300,1.024556,LOOKING_FOR_MIN,0.520000,0
0.061000,0.017812,1.024800,LOOKING_FOR_MIN,0.520000,0
0.053192,0.011224,1.028460,LOOKING_FOR_MIN,0.520000,0
0.047824,0.015860,1.020896,LOOKING_FOR_MIN,0.520000,0
0.044164,0.024400,1.015528,LOOKING_FOR_MIN,0.520000,0
